0	1	2	3	4	5	6	7	8
NC_000021.9	Gnomon	gene	5012364	5017158	.	+	.	"gene_id ""LOC124905051""; transcript_id """"; db_xref ""GeneID:124905051""; description ""DNA (cytosine-5)-methyltransferase 3-like""; gbkey ""Gene""; gene ""LOC124905051""; gene_biotype ""protein_coding""; "
NC_000021.9	BestRefSeq%2CGnomon	gene	5022531	5046683	.	+	.	"gene_id ""LOC102723996""; transcript_id """"; db_xref ""GeneID:102723996""; description ""ICOS ligand""; gbkey ""Gene""; gene ""LOC102723996""; gene_biotype ""protein_coding""; "
NC_000021.9	BestRefSeq	gene	5116341	5128369	.	-	.	"gene_id ""LOC102724023""; transcript_id """"; db_xref ""GeneID:102724023""; description ""glutamine amidotransferase class 1 domain containing 3B""; gbkey ""Gene""; gene ""LOC102724023""; gene_biotype ""protein_coding""; gene_synonym ""GATD3B""; gene_synonym ""KNP-I""; "
NC_000021.9	BestRefSeq	gene	5130871	5154658	.	-	.	"gene_id ""LOC102724159""; transcript_id """"; db_xref ""GeneID:102724159""; description ""periodic tryptophan protein 2 homolog""; gbkey ""Gene""; gene ""LOC102724159""; gene_biotype ""protein_coding""; "
NC_000021.9	Gnomon	gene	5155774	5165464	.	-	.	"gene_id ""LOC102724200""; transcript_id """"; db_xref ""GeneID:102724200""; description ""trafficking protein particle complex subunit 10-like""; gbkey ""Gene""; gene ""LOC102724200""; gene_biotype ""protein_coding""; partial ""true""; "
NC_000021.9	Gnomon	gene	5972947	5973385	.	-	.	"gene_id ""LOC102724334""; transcript_id """"; db_xref ""GeneID:102724334""; description ""histone H2B type F-S-like""; gbkey ""Gene""; gene ""LOC102724334""; gene_biotype ""protein_coding""; "
NC_000021.9	BestRefSeq%2CGnomon	gene	6111131	6123778	.	+	.	"gene_id ""LOC102724428""; transcript_id """"; db_xref ""GeneID:102724428""; description ""salt inducible kinase 1B (putative)""; gbkey ""Gene""; gene ""LOC102724428""; gene_biotype ""protein_coding""; gene_synonym ""SIK""; gene_synonym ""SIK-1""; gene_synonym ""SIK1""; gene_synonym ""SIK1B""; gene_synonym ""SNF1LK""; "
NC_000021.9	Gnomon	gene	6133062	6135752	.	-	.	"gene_id ""LOC107987288""; transcript_id """"; db_xref ""GeneID:107987288""; description ""uncharacterized LOC107987288""; gbkey ""Gene""; gene ""LOC107987288""; gene_biotype ""protein_coding""; "
NC_000021.9	Gnomon	gene	6142327	6149671	.	+	.	"gene_id ""LOC124905049""; transcript_id """"; db_xref ""GeneID:124905049""; description ""uncharacterized LOC124905049""; gbkey ""Gene""; gene ""LOC124905049""; gene_biotype ""protein_coding""; "
NC_000021.9	BestRefSeq%2CGnomon	gene	6444869	6468621	.	-	.	"gene_id ""LOC102724560""; transcript_id """"; db_xref ""GeneID:102724560""; description ""cystathionine beta-synthase like""; gbkey ""Gene""; gene ""LOC102724560""; gene_biotype ""protein_coding""; gene_synonym ""CBS""; gene_synonym ""CBSL""; "
NC_000021.9	BestRefSeq%2CGnomon	gene	6484623	6499248	.	-	.	"gene_id ""LOC102724594""; transcript_id """"; db_xref ""GeneID:102724594""; description ""U2 small nuclear RNA auxiliary factor 1 like 5""; gbkey ""Gene""; gene ""LOC102724594""; gene_biotype ""protein_coding""; gene_synonym ""U2AF1L5""; "
NC_000021.9	BestRefSeq	gene	6499203	6564489	.	+	.	"gene_id ""LOC102724652""; transcript_id """"; db_xref ""GeneID:102724652""; description ""crystallin alpha A2""; gbkey ""Gene""; gene ""LOC102724652""; gene_biotype ""protein_coding""; gene_synonym ""CRYAA""; gene_synonym ""CRYAA2""; "
