0	1	2	3	4	5	6	7	8
NC_000004.12	BestRefSeq	gene	53321	88208	.	+	.	"gene_id ""ZNF595""; transcript_id """"; db_xref ""GeneID:152687""; db_xref ""HGNC:HGNC:27196""; description ""zinc finger protein 595""; gbkey ""Gene""; gene ""ZNF595""; gene_biotype ""protein_coding""; "
NC_000004.12	Gnomon	gene	123204	125591	.	-	.	"gene_id ""LOC124900641""; transcript_id """"; db_xref ""GeneID:124900641""; description ""uncharacterized LOC124900641""; gbkey ""Gene""; gene ""LOC124900641""; gene_biotype ""protein_coding""; "
NC_000004.12	BestRefSeq%2CGnomon	gene	124476	202306	.	+	.	"gene_id ""ZNF718""; transcript_id """"; db_xref ""GeneID:255403""; db_xref ""HGNC:HGNC:26889""; description ""zinc finger protein 718""; gbkey ""Gene""; gene ""ZNF718""; gene_biotype ""protein_coding""; "
NC_000004.12	Gnomon	gene	218556	219643	.	+	.	"gene_id ""LOC124900642""; transcript_id """"; db_xref ""GeneID:124900642""; description ""zinc finger protein 141-like""; gbkey ""Gene""; gene ""LOC124900642""; gene_biotype ""protein_coding""; "
NC_000004.12	BestRefSeq	gene	270675	305474	.	-	.	"gene_id ""ZNF732""; transcript_id """"; db_xref ""GeneID:654254""; db_xref ""HGNC:HGNC:37138""; description ""zinc finger protein 732""; gbkey ""Gene""; gene ""ZNF732""; gene_biotype ""protein_coding""; "
NC_000004.12	BestRefSeq%2CGnomon	gene	337814	384868	.	+	.	"gene_id ""ZNF141""; transcript_id """"; db_xref ""GeneID:7700""; db_xref ""HGNC:HGNC:12926""; db_xref ""MIM:194648""; description ""zinc finger protein 141""; gbkey ""Gene""; gene ""ZNF141""; gene_biotype ""protein_coding""; gene_synonym ""D4S90""; gene_synonym ""pHZ-44""; "
NC_000004.12	BestRefSeq	gene	439988	499156	.	-	.	"gene_id ""ZNF721""; transcript_id """"; db_xref ""GeneID:170960""; db_xref ""HGNC:HGNC:29425""; description ""zinc finger protein 721""; gbkey ""Gene""; gene ""ZNF721""; gene_biotype ""protein_coding""; "
NC_000004.12	BestRefSeq%2CGnomon	gene	499210	540200	.	+	.	"gene_id ""PIGG""; transcript_id """"; db_xref ""GeneID:54872""; db_xref ""HGNC:HGNC:25985""; db_xref ""MIM:616918""; description ""phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)""; gbkey ""Gene""; gene ""PIGG""; gene_biotype ""protein_coding""; gene_synonym ""EMM""; gene_synonym ""GPI7""; gene_synonym ""LAS21""; gene_synonym ""MRT53""; gene_synonym ""NEDHSCA""; gene_synonym ""PRO4405""; gene_synonym ""RLGS1930""; "
NC_000004.12	BestRefSeq	gene	573880	576295	.	-	.	"gene_id ""TMEM271""; transcript_id """"; db_xref ""GeneID:112441426""; db_xref ""HGNC:HGNC:53639""; description ""transmembrane protein 271""; gbkey ""Gene""; gene ""TMEM271""; gene_biotype ""protein_coding""; "
NC_000004.12	BestRefSeq%2CGnomon	gene	625573	670782	.	+	.	"gene_id ""PDE6B""; transcript_id """"; db_xref ""GeneID:5158""; db_xref ""HGNC:HGNC:8786""; db_xref ""MIM:180072""; description ""phosphodiesterase 6B""; gbkey ""Gene""; gene ""PDE6B""; gene_biotype ""protein_coding""; gene_synonym ""CSNB3""; gene_synonym ""CSNBAD2""; gene_synonym ""GMP-PDEbeta""; gene_synonym ""PDEB""; gene_synonym ""rd1""; gene_synonym ""RP40""; "
