0	1	2	3	4	5	6	7	8
NC_000017.11	BestRefSeq	gene	137569	139067	.	+	.	"gene_id ""SCGB1C2""; transcript_id """"; db_xref ""GeneID:653486""; db_xref ""HGNC:HGNC:51242""; description ""secretoglobin family 1C member 2""; gbkey ""Gene""; gene ""SCGB1C2""; gene_biotype ""protein_coding""; gene_synonym ""SCGB1C1""; "
NC_000017.11	BestRefSeq%2CGnomon	gene	142789	181650	.	-	.	"gene_id ""DOC2B""; transcript_id """"; db_xref ""GeneID:8447""; db_xref ""HGNC:HGNC:2986""; db_xref ""MIM:604568""; description ""double C2 domain beta""; gbkey ""Gene""; gene ""DOC2B""; gene_biotype ""protein_coding""; gene_synonym ""DOC2BL""; "
NC_000017.11	BestRefSeq	gene	212389	352807	.	-	.	"gene_id ""RPH3AL""; transcript_id """"; db_xref ""GeneID:9501""; db_xref ""HGNC:HGNC:10296""; db_xref ""MIM:604881""; description ""rabphilin 3A like (without C2 domains)""; gbkey ""Gene""; gene ""RPH3AL""; gene_biotype ""protein_coding""; gene_synonym ""NOC2""; "
NC_000017.11	BestRefSeq	gene	410325	414666	.	+	.	"gene_id ""LIAT1""; transcript_id """"; db_xref ""GeneID:400566""; db_xref ""HGNC:HGNC:33800""; description ""ligand of ATE1""; gbkey ""Gene""; gene ""LIAT1""; gene_biotype ""protein_coding""; gene_synonym ""C17orf97""; gene_synonym ""CK20""; "
NC_000017.11	BestRefSeq	gene	439978	445940	.	-	.	"gene_id ""RFLNB""; transcript_id """"; db_xref ""GeneID:359845""; db_xref ""HGNC:HGNC:28705""; db_xref ""MIM:615928""; description ""refilin B""; gbkey ""Gene""; gene ""RFLNB""; gene_biotype ""protein_coding""; gene_synonym ""CFM1""; gene_synonym ""FAM101B""; partial ""true""; "
NC_000017.11	BestRefSeq%2CGnomon	gene	508668	714839	.	-	.	"gene_id ""VPS53""; transcript_id """"; db_xref ""GeneID:55275""; db_xref ""HGNC:HGNC:25608""; db_xref ""MIM:615850""; description ""VPS53 subunit of GARP complex""; gbkey ""Gene""; gene ""VPS53""; gene_biotype ""protein_coding""; gene_synonym ""HCCS1""; gene_synonym ""hVps53L""; gene_synonym ""PCH2E""; gene_synonym ""pp13624""; "
NC_000017.11	BestRefSeq	gene	732596	742968	.	+	.	"gene_id ""TLCD3A""; transcript_id """"; db_xref ""GeneID:79850""; db_xref ""HGNC:HGNC:29646""; db_xref ""MIM:611627""; description ""TLC domain containing 3A""; gbkey ""Gene""; gene ""TLCD3A""; gene_biotype ""protein_coding""; gene_synonym ""CT120""; gene_synonym ""FAM57A""; "
NC_000017.11	BestRefSeq%2CGnomon	gene	744421	754410	.	-	.	"gene_id ""GEMIN4""; transcript_id """"; db_xref ""GeneID:50628""; db_xref ""HGNC:HGNC:15717""; db_xref ""MIM:606969""; description ""gem nuclear organelle associated protein 4""; gbkey ""Gene""; gene ""GEMIN4""; gene_biotype ""protein_coding""; gene_synonym ""HC56""; gene_synonym ""HCAP1""; gene_synonym ""HHRF-1""; gene_synonym ""NEDMCR""; gene_synonym ""p97""; "
NC_000017.11	BestRefSeq%2CGnomon	gene	759330	785895	.	-	.	"gene_id ""GLOD4""; transcript_id """"; db_xref ""GeneID:51031""; db_xref ""HGNC:HGNC:14111""; db_xref ""MIM:620650""; description ""glyoxalase domain containing 4""; gbkey ""Gene""; gene ""GLOD4""; gene_biotype ""protein_coding""; gene_synonym ""C17orf25""; gene_synonym ""CGI-150""; gene_synonym ""HC6""; gene_synonym ""HC71""; "
NC_000017.11	BestRefSeq	gene	782353	792509	.	+	.	"gene_id ""MRM3""; transcript_id """"; db_xref ""GeneID:55178""; db_xref ""HGNC:HGNC:18485""; db_xref ""MIM:612600""; description ""mitochondrial rRNA methyltransferase 3""; gbkey ""Gene""; gene ""MRM3""; gene_biotype ""protein_coding""; gene_synonym ""RMTL1""; gene_synonym ""RNMTL1""; "
