0	1	2	3	4	5	6	7	8
NC_000016.10	BestRefSeq	gene	46407	53608	.	-	.	"gene_id ""POLR3K""; transcript_id """"; db_xref ""GeneID:51728""; db_xref ""HGNC:HGNC:14121""; db_xref ""MIM:606007""; description ""RNA polymerase III subunit K""; gbkey ""Gene""; gene ""POLR3K""; gene_biotype ""protein_coding""; gene_synonym ""C11""; gene_synonym ""C11-RNP3""; gene_synonym ""HLD21""; gene_synonym ""My010""; gene_synonym ""RPC10""; gene_synonym ""RPC11""; gene_synonym ""RPC12.5""; "
NC_000016.10	BestRefSeq	gene	53828	57669	.	+	.	"gene_id ""SNRNP25""; transcript_id """"; db_xref ""GeneID:79622""; db_xref ""HGNC:HGNC:14161""; description ""small nuclear ribonucleoprotein U11/U12 subunit 25""; gbkey ""Gene""; gene ""SNRNP25""; gene_biotype ""protein_coding""; gene_synonym ""C16orf33""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	58059	76360	.	-	.	"gene_id ""RHBDF1""; transcript_id """"; db_xref ""GeneID:64285""; db_xref ""HGNC:HGNC:20561""; db_xref ""MIM:614403""; description ""rhomboid 5 homolog 1""; gbkey ""Gene""; gene ""RHBDF1""; gene_biotype ""protein_coding""; gene_synonym ""C16orf8""; gene_synonym ""Dist1""; gene_synonym ""EGFR-RS""; gene_synonym ""gene-89""; gene_synonym ""gene-90""; gene_synonym ""hDist1""; "
NC_000016.10	BestRefSeq	gene	77007	85846	.	+	.	"gene_id ""MPG""; transcript_id """"; db_xref ""GeneID:4350""; db_xref ""HGNC:HGNC:7211""; db_xref ""MIM:156565""; description ""N-methylpurine DNA glycosylase""; gbkey ""Gene""; gene ""MPG""; gene_biotype ""protein_coding""; gene_synonym ""AAG""; gene_synonym ""ADPG""; gene_synonym ""anpg""; gene_synonym ""APNG""; gene_synonym ""CRA36.1""; gene_synonym ""MDG""; gene_synonym ""Mid1""; gene_synonym ""PIG11""; gene_synonym ""PIG16""; "
NC_000016.10	BestRefSeq	gene	85386	138673	.	-	.	"gene_id ""NPRL3""; transcript_id """"; db_xref ""GeneID:8131""; db_xref ""HGNC:HGNC:14124""; db_xref ""MIM:600928""; description ""NPR3 like, GATOR1 complex subunit""; gbkey ""Gene""; gene ""NPRL3""; gene_biotype ""protein_coding""; gene_synonym ""C16orf35""; gene_synonym ""CGTHBA""; gene_synonym ""FFEVF3""; gene_synonym ""HS-40""; gene_synonym ""MARE""; gene_synonym ""NPR3""; gene_synonym ""RMD11""; "
NC_000016.10	BestRefSeq	gene	152644	154503	.	+	.	"gene_id ""HBZ""; transcript_id """"; db_xref ""GeneID:3050""; db_xref ""HGNC:HGNC:4835""; db_xref ""MIM:142310""; description ""hemoglobin subunit zeta""; gbkey ""Gene""; gene ""HBZ""; gene_biotype ""protein_coding""; gene_synonym ""HBAZ""; gene_synonym ""HBZ-T1""; gene_synonym ""HBZ1""; "
NC_000016.10	BestRefSeq	gene	165978	166764	.	+	.	"gene_id ""HBM""; transcript_id """"; db_xref ""GeneID:3042""; db_xref ""HGNC:HGNC:4826""; db_xref ""MIM:609639""; description ""hemoglobin subunit mu""; gbkey ""Gene""; gene ""HBM""; gene_biotype ""protein_coding""; gene_synonym ""HBAP2""; gene_synonym ""HBK""; "
NC_000016.10	BestRefSeq	gene	172876	173710	.	+	.	"gene_id ""HBA2""; transcript_id """"; db_xref ""GeneID:3040""; db_xref ""HGNC:HGNC:4824""; db_xref ""MIM:141850""; description ""hemoglobin subunit alpha 2""; gbkey ""Gene""; gene ""HBA2""; gene_biotype ""protein_coding""; gene_synonym ""ECYT7""; gene_synonym ""HBA-T2""; gene_synonym ""HBH""; "
NC_000016.10	BestRefSeq	gene	176680	177522	.	+	.	"gene_id ""HBA1""; transcript_id """"; db_xref ""GeneID:3039""; db_xref ""HGNC:HGNC:4823""; db_xref ""MIM:141800""; description ""hemoglobin subunit alpha 1""; gbkey ""Gene""; gene ""HBA1""; gene_biotype ""protein_coding""; gene_synonym ""ECYT7""; gene_synonym ""HBA-T3""; gene_synonym ""HBH""; gene_synonym ""METHBA""; "
NC_000016.10	BestRefSeq	gene	180459	181179	.	+	.	"gene_id ""HBQ1""; transcript_id """"; db_xref ""GeneID:3049""; db_xref ""HGNC:HGNC:4833""; db_xref ""MIM:142240""; description ""hemoglobin subunit theta 1""; gbkey ""Gene""; gene ""HBQ1""; gene_biotype ""protein_coding""; gene_synonym ""HBQ""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	188990	229449	.	-	.	"gene_id ""LUC7L""; transcript_id """"; db_xref ""GeneID:55692""; db_xref ""HGNC:HGNC:6723""; db_xref ""MIM:607782""; description ""LUC7 like""; gbkey ""Gene""; gene ""LUC7L""; gene_biotype ""protein_coding""; gene_synonym ""hLuc7B1""; gene_synonym ""Luc7""; gene_synonym ""LUC7B1""; gene_synonym ""SR+89""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	234821	269963	.	+	.	"gene_id ""FAM234A""; transcript_id """"; db_xref ""GeneID:83986""; db_xref ""HGNC:HGNC:14163""; description ""family with sequence similarity 234 member A""; gbkey ""Gene""; gene ""FAM234A""; gene_biotype ""protein_coding""; gene_synonym ""C16orf9""; gene_synonym ""gs19""; gene_synonym ""ITFG3""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	268307	275944	.	-	.	"gene_id ""RGS11""; transcript_id """"; db_xref ""GeneID:8786""; db_xref ""HGNC:HGNC:9993""; db_xref ""MIM:603895""; description ""regulator of G protein signaling 11""; gbkey ""Gene""; gene ""RGS11""; gene_biotype ""protein_coding""; gene_synonym ""RS11""; "
NC_000016.10	BestRefSeq	gene	280591	283010	.	+	.	"gene_id ""ARHGDIG""; transcript_id """"; db_xref ""GeneID:398""; db_xref ""HGNC:HGNC:680""; db_xref ""MIM:602844""; description ""Rho GDP dissociation inhibitor gamma""; gbkey ""Gene""; gene ""ARHGDIG""; gene_biotype ""protein_coding""; gene_synonym ""RHOGDI-3""; "
NC_000016.10	BestRefSeq	gene	283164	287215	.	+	.	"gene_id ""PDIA2""; transcript_id """"; db_xref ""GeneID:64714""; db_xref ""HGNC:HGNC:14180""; db_xref ""MIM:608012""; description ""protein disulfide isomerase family A member 2""; gbkey ""Gene""; gene ""PDIA2""; gene_biotype ""protein_coding""; gene_synonym ""PDA2""; gene_synonym ""PDI""; gene_synonym ""PDIP""; gene_synonym ""PDIR""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	287440	352723	.	-	.	"gene_id ""AXIN1""; transcript_id """"; db_xref ""GeneID:8312""; db_xref ""HGNC:HGNC:903""; db_xref ""MIM:603816""; description ""axin 1""; gbkey ""Gene""; gene ""AXIN1""; gene_biotype ""protein_coding""; gene_synonym ""AXIN""; gene_synonym ""CMDOH""; gene_synonym ""PPP1R49""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	366969	370538	.	-	.	"gene_id ""MRPL28""; transcript_id """"; db_xref ""GeneID:10573""; db_xref ""HGNC:HGNC:14484""; db_xref ""MIM:604853""; description ""mitochondrial ribosomal protein L28""; gbkey ""Gene""; gene ""MRPL28""; gene_biotype ""protein_coding""; gene_synonym ""bL28m""; gene_synonym ""MAAT1""; gene_synonym ""p15""; "
NC_000016.10	BestRefSeq%2CGnomon	gene	370788	386979	.	-	.	"gene_id ""PGAP6""; transcript_id """"; db_xref ""GeneID:58986""; db_xref ""HGNC:HGNC:17205""; db_xref ""MIM:619342""; description ""post-GPI attachment to proteins 6""; gbkey ""Gene""; gene ""PGAP6""; gene_biotype ""protein_coding""; gene_synonym ""GPI-PLA2""; gene_synonym ""M83""; gene_synonym ""TMEM6""; gene_synonym ""TMEM8""; gene_synonym ""TMEM8A""; "
NC_000016.10	BestRefSeq	gene	396729	400754	.	+	.	"gene_id ""NME4""; transcript_id """"; db_xref ""GeneID:4833""; db_xref ""HGNC:HGNC:7852""; db_xref ""MIM:601818""; description ""NME/NM23 nucleoside diphosphate kinase 4""; gbkey ""Gene""; gene ""NME4""; gene_biotype ""protein_coding""; gene_synonym ""NDPK-D""; gene_synonym ""nm23-H4""; gene_synonym ""NM23H4""; "
NC_000016.10	BestRefSeq	gene	401885	412482	.	+	.	"gene_id ""DECR2""; transcript_id """"; db_xref ""GeneID:26063""; db_xref ""HGNC:HGNC:2754""; db_xref ""MIM:615839""; description ""2,4-dienoyl-CoA reductase 2""; gbkey ""Gene""; gene ""DECR2""; gene_biotype ""protein_coding""; gene_synonym ""PDCR""; gene_synonym ""SDR17C1""; "
