0	1	2	3	4	5	6	7	8
NC_000022.11	BestRefSeq	gene	15528192	15529139	.	+	.	"gene_id ""OR11H1""; transcript_id """"; db_xref ""GeneID:81061""; db_xref ""HGNC:HGNC:15404""; description ""olfactory receptor family 11 subfamily H member 1""; gbkey ""Gene""; gene ""OR11H1""; gene_biotype ""protein_coding""; gene_synonym ""OR11H12""; gene_synonym ""OR22-1""; "
NC_000022.11	BestRefSeq	gene	15690026	15721631	.	+	.	"gene_id ""POTEH""; transcript_id """"; db_xref ""GeneID:23784""; db_xref ""HGNC:HGNC:133""; db_xref ""MIM:608913""; description ""POTE ankyrin domain family member H""; gbkey ""Gene""; gene ""POTEH""; gene_biotype ""protein_coding""; gene_synonym ""A26C3""; gene_synonym ""ACTBL1""; gene_synonym ""CT104.7""; gene_synonym ""POTE22""; "
NC_000022.11	BestRefSeq	gene	16590751	16592810	.	-	.	"gene_id ""CCT8L2""; transcript_id """"; db_xref ""GeneID:150160""; db_xref ""HGNC:HGNC:15553""; description ""chaperonin containing TCP1 subunit 8 like 2""; gbkey ""Gene""; gene ""CCT8L2""; gene_biotype ""protein_coding""; gene_synonym ""CESK1""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	16783480	16825411	.	-	.	"gene_id ""XKR3""; transcript_id """"; db_xref ""GeneID:150165""; db_xref ""HGNC:HGNC:28778""; db_xref ""MIM:611674""; description ""XK related 3""; gbkey ""Gene""; gene ""XKR3""; gene_biotype ""protein_coding""; gene_synonym ""XRG3""; gene_synonym ""XTES""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	16961936	17008222	.	-	.	"gene_id ""GAB4""; transcript_id """"; db_xref ""GeneID:128954""; db_xref ""HGNC:HGNC:18325""; description ""GRB2 associated binding protein family member 4""; gbkey ""Gene""; gene ""GAB4""; gene_biotype ""protein_coding""; "
NC_000022.11	BestRefSeq	gene	17085000	17115693	.	+	.	"gene_id ""IL17RA""; transcript_id """"; db_xref ""GeneID:23765""; db_xref ""HGNC:HGNC:5985""; db_xref ""MIM:605461""; description ""interleukin 17 receptor A""; gbkey ""Gene""; gene ""IL17RA""; gene_biotype ""protein_coding""; gene_synonym ""CANDF5""; gene_synonym ""CD217""; gene_synonym ""CDw217""; gene_synonym ""hIL-17R""; gene_synonym ""IL-17RA""; gene_synonym ""IL17R""; gene_synonym ""IMD51""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	17116297	17121360	.	-	.	"gene_id ""TMEM121B""; transcript_id """"; db_xref ""GeneID:27439""; db_xref ""HGNC:HGNC:1844""; description ""transmembrane protein 121B""; gbkey ""Gene""; gene ""TMEM121B""; gene_biotype ""protein_coding""; gene_synonym ""CECR6""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	17137520	17165287	.	-	.	"gene_id ""HDHD5""; transcript_id """"; db_xref ""GeneID:27440""; db_xref ""HGNC:HGNC:1843""; description ""haloacid dehalogenase like hydrolase domain containing 5""; gbkey ""Gene""; gene ""HDHD5""; gene_biotype ""protein_coding""; gene_synonym ""CECR5""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	17178790	17221848	.	-	.	"gene_id ""ADA2""; transcript_id """"; db_xref ""GeneID:51816""; db_xref ""HGNC:HGNC:1839""; db_xref ""MIM:607575""; description ""adenosine deaminase 2""; gbkey ""Gene""; gene ""ADA2""; gene_biotype ""protein_coding""; gene_synonym ""ADGF""; gene_synonym ""CECR1""; gene_synonym ""IDGFL""; gene_synonym ""PAN""; gene_synonym ""SNEDS""; gene_synonym ""VAIHS""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	17359949	17558151	.	+	.	"gene_id ""CECR2""; transcript_id """"; db_xref ""GeneID:27443""; db_xref ""HGNC:HGNC:1840""; db_xref ""MIM:607576""; description ""CECR2 histone acetyl-lysine reader""; gbkey ""Gene""; gene ""CECR2""; gene_biotype ""protein_coding""; "
NC_000022.11	BestRefSeq	gene	17563498	17590995	.	+	.	"gene_id ""SLC25A18""; transcript_id """"; db_xref ""GeneID:83733""; db_xref ""HGNC:HGNC:10988""; db_xref ""MIM:609303""; description ""solute carrier family 25 member 18""; gbkey ""Gene""; gene ""SLC25A18""; gene_biotype ""protein_coding""; gene_synonym ""GC2""; "
NC_000022.11	BestRefSeq	gene	17592136	17628822	.	-	.	"gene_id ""ATP6V1E1""; transcript_id """"; db_xref ""GeneID:529""; db_xref ""HGNC:HGNC:857""; db_xref ""MIM:108746""; description ""ATPase H+ transporting V1 subunit E1""; gbkey ""Gene""; gene ""ATP6V1E1""; gene_biotype ""protein_coding""; gene_synonym ""ARCL2C""; gene_synonym ""ATP6E""; gene_synonym ""ATP6E2""; gene_synonym ""ATP6V1E""; gene_synonym ""P31""; gene_synonym ""Vma4""; "
NC_000022.11	BestRefSeq%2CGnomon	gene	17628877	17730855	.	+	.	"gene_id ""BCL2L13""; transcript_id """"; db_xref ""GeneID:23786""; db_xref ""HGNC:HGNC:17164""; db_xref ""MIM:619822""; description ""BCL2 like 13""; gbkey ""Gene""; gene ""BCL2L13""; gene_biotype ""protein_coding""; gene_synonym ""BCL-RAMBO""; gene_synonym ""Bcl2-L-13""; gene_synonym ""MIL1""; "
NC_000022.11	BestRefSeq	gene	17734138	17774665	.	-	.	"gene_id ""BID""; transcript_id """"; db_xref ""GeneID:637""; db_xref ""HGNC:HGNC:1050""; db_xref ""MIM:601997""; description ""BH3 interacting domain death agonist""; gbkey ""Gene""; gene ""BID""; gene_biotype ""protein_coding""; gene_synonym ""FP497""; "
NC_000022.11	BestRefSeq	gene	17787649	18024561	.	-	.	"gene_id ""MICAL3""; transcript_id """"; db_xref ""GeneID:57553""; db_xref ""HGNC:HGNC:24694""; db_xref ""MIM:608882""; description ""microtubule associated monooxygenase, calponin and LIM domain containing 3""; gbkey ""Gene""; gene ""MICAL3""; gene_biotype ""protein_coding""; gene_synonym ""MICAL-3""; "
