0	1	2	3	4	5	6	7	8
NC_000024.10	Gnomon	gene	275294	276997	.	-	.	"gene_id ""LOC124905300""; transcript_id """"; db_xref ""GeneID:124905300""; description ""vegetative cell wall protein gp1-like""; gbkey ""Gene""; gene ""LOC124905300""; gene_biotype ""protein_coding""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	276356	303356	.	+	.	"gene_id ""PLCXD1_1""; transcript_id """"; db_xref ""GeneID:55344""; db_xref ""HGNC:HGNC:23148""; db_xref ""MIM:300974""; description ""phosphatidylinositol specific phospholipase C X domain containing 1""; gbkey ""Gene""; gene ""PLCXD1""; gene_biotype ""protein_coding""; gene_synonym ""LL0XNC01-136G2.1""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	304759	318796	.	-	.	"gene_id ""GTPBP6_1""; transcript_id """"; db_xref ""GeneID:8225""; db_xref ""HGNC:HGNC:30189""; db_xref ""MIM:300124""; description ""GTP binding protein 6 (putative)""; gbkey ""Gene""; gene ""GTPBP6""; gene_biotype ""protein_coding""; gene_synonym ""PGPL""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	333933	386907	.	-	.	"gene_id ""PPP2R3B_1""; transcript_id """"; db_xref ""GeneID:28227""; db_xref ""HGNC:HGNC:13417""; db_xref ""MIM:300339""; description ""protein phosphatase 2 regulatory subunit B''beta""; gbkey ""Gene""; gene ""PPP2R3B""; gene_biotype ""protein_coding""; gene_synonym ""NYREN8""; gene_synonym ""PPP2R3L""; gene_synonym ""PPP2R3LY""; gene_synonym ""PR48""; gene_synonym ""PR70""; "
NC_000024.10	BestRefSeq	gene	624344	659411	.	+	.	"gene_id ""SHOX_1""; transcript_id """"; db_xref ""GeneID:6473""; db_xref ""HGNC:HGNC:10853""; db_xref ""MIM:400020""; description ""SHOX homeobox""; gbkey ""Gene""; gene ""SHOX""; gene_biotype ""protein_coding""; gene_synonym ""GCFX""; gene_synonym ""PHOG""; gene_synonym ""SHOX1""; gene_synonym ""SHOXY""; gene_synonym ""SS""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	1190490	1212649	.	-	.	"gene_id ""CRLF2_1""; transcript_id """"; db_xref ""GeneID:64109""; db_xref ""HGNC:HGNC:14281""; db_xref ""MIM:400023""; description ""cytokine receptor like factor 2""; gbkey ""Gene""; gene ""CRLF2""; gene_biotype ""protein_coding""; gene_synonym ""CRL2""; gene_synonym ""CRLF2Y""; gene_synonym ""TSLPR""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	1268814	1325218	.	+	.	"gene_id ""CSF2RA_1""; transcript_id """"; db_xref ""GeneID:1438""; db_xref ""HGNC:HGNC:2435""; db_xref ""MIM:425000""; description ""colony stimulating factor 2 receptor subunit alpha""; gbkey ""Gene""; gene ""CSF2RA""; gene_biotype ""protein_coding""; gene_synonym ""alphaGMR""; gene_synonym ""CD116""; gene_synonym ""CDw116""; gene_synonym ""CSF2R""; gene_synonym ""CSF2RAX""; gene_synonym ""CSF2RAY""; gene_synonym ""CSF2RX""; gene_synonym ""CSF2RY""; gene_synonym ""GM-CSF-R-alpha""; gene_synonym ""GMCSFR""; gene_synonym ""GMCSFR-alpha""; gene_synonym ""GMR""; gene_synonym ""GMR-alpha""; gene_synonym ""SMDP4""; "
NC_000024.10	BestRefSeq%2CGnomon	gene	1336785	1382689	.	+	.	"gene_id ""IL3RA_1""; transcript_id """"; db_xref ""GeneID:3563""; db_xref ""HGNC:HGNC:6012""; db_xref ""MIM:430000""; description ""interleukin 3 receptor subunit alpha""; gbkey ""Gene""; gene ""IL3RA""; gene_biotype ""protein_coding""; gene_synonym ""CD123""; gene_synonym ""hIL-3Ra""; gene_synonym ""IL-3R-alpha""; gene_synonym ""IL3R""; gene_synonym ""IL3RAY""; gene_synonym ""IL3RX""; gene_synonym ""IL3RY""; "
NC_000024.10	BestRefSeq	gene	1386152	1392113	.	-	.	"gene_id ""SLC25A6_1""; transcript_id """"; db_xref ""GeneID:293""; db_xref ""HGNC:HGNC:10992""; db_xref ""MIM:403000""; description ""solute carrier family 25 member 6""; gbkey ""Gene""; gene ""SLC25A6""; gene_biotype ""protein_coding""; gene_synonym ""AAC3""; gene_synonym ""ANT""; gene_synonym ""ANT 2""; gene_synonym ""ANT 3""; gene_synonym ""ANT3""; gene_synonym ""ANT3Y""; "
NC_000024.10	Gnomon	gene	1391993	1396881	.	+	.	"gene_id ""LOC124900597_1""; transcript_id """"; db_xref ""GeneID:124900597""; description ""serine/arginine repetitive matrix protein 1-like""; gbkey ""Gene""; gene ""LOC124900597""; gene_biotype ""protein_coding""; "
NC_000024.10	BestRefSeq	gene	1403139	1453756	.	-	.	"gene_id ""ASMTL_1""; transcript_id """"; db_xref ""GeneID:8623""; db_xref ""HGNC:HGNC:751""; db_xref ""MIM:400011""; description ""acetylserotonin O-methyltransferase like""; gbkey ""Gene""; gene ""ASMTL""; gene_biotype ""protein_coding""; gene_synonym ""ASMTLX""; gene_synonym ""ASMTLY""; gene_synonym ""ASTML""; "
